                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 4.0115,                 3.7119,                 1.1986,                0.00207,                0.07692,                0.00142,                0.00022,                 3.9033,                 10.547,                 2.0745,                0.00802,                0.00802,                0.00802
                     62,                 3.5456,                 3.6141,                  1.262,                0.00109,                0.07692,                0.00087,                0.00024,                 3.6683,                 7.6963,                 1.4723,               0.007987,               0.007987,               0.007987
                     63,                  3.716,                 3.8796,                 1.2075,                0.00108,                0.07692,                0.00083,                  8e-05,                  3.718,                 9.1878,                 1.3791,               0.007954,               0.007954,               0.007954
                     64,                 3.4968,                 3.6978,                 1.1907,                0.00109,                0.07692,                0.00122,                0.00019,                 3.9089,                 7.4068,                 1.5546,               0.007921,               0.007921,               0.007921
                     65,                 3.6182,                 3.7396,                 1.2206,                0.00109,                0.07692,                0.00122,                0.00019,                 3.9089,                 7.4068,                 1.5546,               0.007888,               0.007888,               0.007888
                     66,                 3.5592,                 3.4122,                 1.2021,                0.00095,                0.07692,                0.00063,                0.00018,                 3.6389,                 7.7038,                 1.3607,               0.007855,               0.007855,               0.007855
                     67,                 3.6764,                 3.6454,                 1.2193,                0.01524,                0.03846,                0.00179,                0.00025,                 3.5058,                 8.0198,                 2.2818,               0.007822,               0.007822,               0.007822
                     68,                 3.6776,                  3.587,                 1.1618,                0.00355,                0.07692,                0.00266,                0.00041,                 3.5078,                 6.4812,                 2.0372,               0.007789,               0.007789,               0.007789
                     69,                 3.7493,                 3.5981,                 1.1463,                0.00355,                0.07692,                0.00266,                0.00041,                 3.5078,                 6.4812,                 2.0372,               0.007756,               0.007756,               0.007756
                     70,                 3.6411,                 3.5899,                 1.1727,                0.00096,                0.07692,                0.00194,                0.00056,                 4.1889,                 10.575,                 2.8315,               0.007723,               0.007723,               0.007723
                     71,                 3.6325,                   3.73,                 1.2187,                0.00096,                0.07692,                0.00194,                0.00056,                 4.1954,                 109.19,                 8.0183,                0.00769,                0.00769,                0.00769
                     72,                 3.8746,                 3.5913,                 1.1747,                0.00093,                0.03846,                0.00026,                  3e-05,                 3.4982,                 1604.3,                 1.5536,               0.007657,               0.007657,               0.007657
                     73,                 3.7818,                 3.6913,                 1.1524,                0.00093,                0.03846,                0.00026,                  3e-05,                 3.4982,                 1604.3,                 1.5536,               0.007624,               0.007624,               0.007624
                     74,                 3.8086,                 3.6055,                 1.1958,                0.00093,                0.03846,                0.00026,                  3e-05,                 3.7401,                 1048.2,                 1.1526,               0.007591,               0.007591,               0.007591
                     75,                 3.6835,                 3.8105,                 1.1612,                0.00069,                0.03846,                0.00028,                  3e-05,                  3.988,                 5753.6,                 3.4448,               0.007558,               0.007558,               0.007558
                     76,                 3.6668,                  3.607,                 1.2001,                0.00069,                0.03846,                0.00028,                  3e-05,                 4.4478,                  28805,                 31.445,               0.007525,               0.007525,               0.007525
                     77,                 3.7437,                 3.5323,                 1.1706,                0.00069,                0.03846,                0.00028,                  3e-05,                 4.4478,                  28805,                 31.445,               0.007492,               0.007492,               0.007492
                     78,                 3.7089,                 3.5172,                 1.1456,                0.00069,                0.03846,                0.00028,                  3e-05,                 4.2069,                   1293,                 100.48,               0.007459,               0.007459,               0.007459
                     79,                 3.7508,                 3.8182,                 1.1885,                0.00069,                0.03846,                0.00028,                  3e-05,                  2.209,                 1827.6,                 36.338,               0.007426,               0.007426,               0.007426
                     80,                 3.8793,                 3.7671,                 1.1568,                0.00069,                0.03846,                0.00028,                  3e-05,                      0,                 310.34,                      0,               0.007393,               0.007393,               0.007393
                     81,                 3.6186,                 3.5898,                 1.1835,                0.00069,                0.03846,                0.00028,                  3e-05,                      0,                 310.34,                      0,                0.00736,                0.00736,                0.00736
                     82,                 3.9634,                 3.6713,                 1.1969,                0.00069,                0.03846,                0.00028,                  3e-05,                      0,                0.19339,                      0,               0.007327,               0.007327,               0.007327
                     83,                  3.524,                 3.8417,                 1.2431,                0.00069,                0.03846,                0.00028,                  3e-05,                  5e-05,                0.06786,                0.00031,               0.007294,               0.007294,               0.007294
                     84,                 3.6249,                 3.6893,                 1.1758,                0.00069,                0.03846,                0.00028,                  3e-05,                 4.3025,                  7.882,                 3.2431,               0.007261,               0.007261,               0.007261
                     85,                 3.5135,                 3.7059,                 1.2137,                0.00069,                0.03846,                0.00028,                  3e-05,                 4.3025,                  7.882,                 3.2431,               0.007228,               0.007228,               0.007228
                     86,                 3.5742,                 3.6895,                 1.2514,                 0.0013,                0.07692,                0.00243,                0.00095,                 3.7914,                 5.0259,                 1.3948,               0.007195,               0.007195,               0.007195
                     87,                 3.5847,                 3.5905,                 1.2763,                 0.0013,                0.07692,                0.00243,                0.00095,                 4.2024,                 5.5571,                 1.1845,               0.007162,               0.007162,               0.007162
                     88,                 3.6259,                 3.7097,                 1.2044,                 0.0013,                0.07692,                0.00243,                0.00095,                 4.2218,                 6.2672,                 1.4422,               0.007129,               0.007129,               0.007129
                     89,                 3.8036,                 3.7597,                 1.1941,                 0.0013,                0.07692,                0.00243,                0.00095,                 4.2218,                 6.2672,                 1.4422,               0.007096,               0.007096,               0.007096
                     90,                  3.668,                 3.7146,                 1.2248,                 0.0013,                0.07692,                0.00243,                0.00095,                  4.051,                 5.9999,                 1.1368,               0.007063,               0.007063,               0.007063
                     91,                 3.4506,                 3.6982,                 1.2543,                0.00054,                0.03846,                0.00415,                0.00094,                 3.9567,                 7.2712,                 1.4498,                0.00703,                0.00703,                0.00703
                     92,                 3.6886,                 3.6108,                 1.2438,                0.00054,                0.03846,                0.00415,                0.00094,                 5.2711,                 8.3447,                  2.475,               0.006997,               0.006997,               0.006997
                     93,                 3.5454,                 3.6484,                 1.2433,                0.00054,                0.03846,                0.00415,                0.00094,                 5.2711,                 8.3447,                  2.475,               0.006964,               0.006964,               0.006964
                     94,                 3.7226,                 3.7993,                 1.2763,                0.00054,                0.03846,                0.00415,                0.00094,                 1.8942,                 6.5913,                 2.1546,               0.006931,               0.006931,               0.006931
                     95,                 3.3902,                 3.4516,                 1.2287,                0.00054,                0.03846,                0.00415,                0.00094,                      0,                0.03448,                      0,               0.006898,               0.006898,               0.006898
                     96,                 3.4644,                 3.5476,                 1.2367,                0.00054,                0.03846,                0.00415,                0.00094,                 2.6039,                 16.544,                 3.2194,               0.006865,               0.006865,               0.006865
                     97,                 3.4622,                 3.6279,                 1.2284,                0.00054,                0.03846,                0.00415,                0.00094,                 2.6039,                 16.544,                 3.2194,               0.006832,               0.006832,               0.006832
                     98,                 3.5238,                 3.5154,                 1.1863,                0.00054,                0.03846,                0.00415,                0.00094,                 5.2856,                 6.7657,                 5.8816,               0.006799,               0.006799,               0.006799
                     99,                 3.6156,                 3.6891,                 1.1562,                0.00204,                0.11538,                0.00202,                0.00083,                 3.6768,                 4.9525,                 1.2346,               0.006766,               0.006766,               0.006766
                    100,                 3.5353,                  3.431,                 1.1906,                 0.0072,                0.03846,                0.00562,                0.00119,                 3.6064,                 5.1705,                 1.0935,               0.006733,               0.006733,               0.006733
                    101,                  3.509,                 3.6493,                 1.1835,                 0.0072,                0.03846,                0.00562,                0.00119,                 3.6064,                 5.1705,                 1.0935,                 0.0067,                 0.0067,                 0.0067
                    102,                 3.7856,                 3.5383,                 1.1299,                0.00621,                0.07692,                0.00409,                0.00049,                 3.8363,                 5.4607,                 1.6653,               0.006667,               0.006667,               0.006667
                    103,                 3.6098,                    3.6,                 1.1674,                0.00149,                0.11538,                0.00136,                 0.0003,                 3.6715,                 5.6876,                 1.3435,               0.006634,               0.006634,               0.006634
                    104,                 3.7978,                 3.5158,                 1.1335,                0.00212,                0.15385,                0.00207,                0.00067,                 3.7135,                 5.2922,                 1.2266,               0.006601,               0.006601,               0.006601
                    105,                 3.7371,                  3.797,                 1.1844,                0.00212,                0.15385,                0.00207,                0.00067,                 3.7135,                 5.2922,                 1.2266,               0.006568,               0.006568,               0.006568
                    106,                  3.404,                 3.5277,                 1.1684,                0.00212,                0.15385,                0.00207,                0.00067,                 3.8301,                 5.9749,                  1.449,               0.006535,               0.006535,               0.006535
                    107,                 3.6239,                 3.5665,                 1.1466,                0.00212,                0.15385,                0.00207,                0.00067,                 3.8663,                 5.2742,                 1.1759,               0.006502,               0.006502,               0.006502
                    108,                 3.5132,                 3.6319,                 1.1957,                0.22804,                0.03846,                0.01774,                 0.0036,                 3.7131,                 5.2646,                 1.1355,               0.006469,               0.006469,               0.006469
                    109,                  3.361,                 3.6131,                 1.2074,                0.22804,                0.03846,                0.01774,                 0.0036,                 3.7131,                 5.2646,                 1.1355,               0.006436,               0.006436,               0.006436
                    110,                 3.2717,                 3.4701,                 1.1603,                0.39732,                0.03846,                0.01799,                0.00375,                 3.4895,                 5.1486,                 1.0968,               0.006403,               0.006403,               0.006403
                    111,                 3.5835,                 3.8538,                 1.2083,                0.41009,                0.03846,                0.01798,                  0.002,                 3.5955,                 4.8369,                  1.102,                0.00637,                0.00637,                0.00637
                    112,                 3.8405,                 3.6348,                 1.2626,                0.00143,                0.11538,                0.00088,                0.00039,                 3.6807,                 4.3442,                 1.1058,               0.006337,               0.006337,               0.006337
                    113,                 3.4353,                 3.5108,                 1.2101,                0.00143,                0.11538,                0.00088,                0.00039,                 3.6807,                 4.3442,                 1.1058,               0.006304,               0.006304,               0.006304
                    114,                 3.4618,                 3.5812,                 1.2671,                0.00143,                0.11538,                0.00143,                0.00047,                 3.5483,                 4.4697,                 1.1015,               0.006271,               0.006271,               0.006271
                    115,                 3.6506,                 3.5101,                 1.2217,                0.00143,                0.11538,                0.00208,                0.00064,                 3.6757,                 4.5926,                 1.1179,               0.006238,               0.006238,               0.006238
                    116,                 3.5722,                 3.5505,                 1.2805,                0.00143,                0.11538,                0.00168,                0.00049,                 3.9141,                 4.7832,                 1.1231,               0.006205,               0.006205,               0.006205
                    117,                 3.3386,                  3.319,                 1.2082,                0.00143,                0.11538,                0.00168,                0.00049,                 3.9141,                 4.7832,                 1.1231,               0.006172,               0.006172,               0.006172
                    118,                 3.4126,                 3.6597,                 1.1885,                0.00143,                0.11538,                0.00114,                0.00017,                 4.0487,                 4.5664,                 1.1485,               0.006139,               0.006139,               0.006139
                    119,                  3.683,                 3.6815,                 1.1983,                0.32299,                0.03846,                0.03915,                0.00402,                 3.9039,                 4.5922,                 1.1301,               0.006106,               0.006106,               0.006106
                    120,                 3.4294,                 3.4302,                 1.1881,                0.01651,                0.07692,                0.03734,                0.01825,                 3.7778,                 4.4899,                 1.1262,               0.006073,               0.006073,               0.006073
                    121,                 3.4167,                 3.4918,                  1.162,                0.01651,                0.07692,                0.03734,                0.01825,                 3.7778,                 4.4899,                 1.1262,                0.00604,                0.00604,                0.00604
                    122,                 3.4991,                 3.5064,                 1.2158,                 0.0017,                0.11538,                0.03595,                0.01104,                 3.8228,                 4.7905,                 1.1824,               0.006007,               0.006007,               0.006007
