                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 2.2934,                 3.1809,                 1.3321,                0.01221,                0.07692,                0.02014,                0.00314,                 2.3897,                 153.41,                 1.4437,               0.008284,               0.008284,               0.008284
                     54,                 2.3493,                  2.854,                   1.34,                0.01221,                0.07692,                0.02014,                0.00314,                 2.4978,                 20.439,                 1.4865,               0.008251,               0.008251,               0.008251
                     55,                 2.3899,                 3.1165,                 1.3603,                0.08321,                0.07692,                0.02304,                0.01152,                 2.6675,                 23.635,                 1.5467,               0.008218,               0.008218,               0.008218
                     56,                 2.1866,                 2.9816,                 1.3844,                0.08321,                0.07692,                0.02304,                0.01152,                 2.6755,                 59.667,                 1.5252,               0.008185,               0.008185,               0.008185
                     57,                 2.2267,                 2.9159,                 1.5362,                0.08321,                0.07692,                0.02304,                0.01152,                 2.6755,                 59.667,                 1.5252,               0.008152,               0.008152,               0.008152
                     58,                 2.4124,                 3.1936,                 1.3959,                0.08321,                0.07692,                0.02304,                0.01152,                 2.6397,                 86.042,                 1.4887,               0.008119,               0.008119,               0.008119
                     59,                 2.3784,                 3.0967,                  1.393,                0.08321,                0.07692,                0.02304,                0.01152,                 2.4627,                 70.678,                 1.4863,               0.008086,               0.008086,               0.008086
                     60,                 2.4173,                 2.9923,                 1.3203,                0.02764,                0.03846,                0.00353,                0.00163,                 2.5696,                 43.176,                 1.5948,               0.008053,               0.008053,               0.008053
                     61,                 2.4585,                 3.0707,                 1.3318,                0.02764,                0.03846,                0.00353,                0.00163,                 2.5696,                 43.176,                 1.5948,                0.00802,                0.00802,                0.00802
                     62,                 2.0973,                 2.8925,                  1.401,                0.02034,                0.03846,                0.00376,                0.00114,                 2.4456,                 12.872,                 1.5098,               0.007987,               0.007987,               0.007987
                     63,                 2.3854,                 3.2331,                  1.399,                0.02536,                0.03846,                0.00541,                0.00236,                 2.3403,                 8.0521,                 1.4481,               0.007954,               0.007954,               0.007954
                     64,                 2.2163,                 3.0205,                 1.4203,                0.01832,                0.07692,                0.00622,                0.00235,                 2.4724,                 8.3782,                 1.4402,               0.007921,               0.007921,               0.007921
                     65,                 2.2314,                 3.0334,                 1.3427,                0.01832,                0.07692,                0.00622,                0.00235,                 2.4724,                 8.3782,                 1.4402,               0.007888,               0.007888,               0.007888
                     66,                  2.302,                  2.951,                 1.3535,                0.01764,                0.03846,                 0.0055,                0.00233,                 2.3541,                 6.3878,                 1.3953,               0.007855,               0.007855,               0.007855
                     67,                 2.3199,                 3.0286,                 1.3626,                 0.2642,                0.07692,                0.05594,                 0.0425,                 2.2946,                 4.6704,                 1.3792,               0.007822,               0.007822,               0.007822
                     68,                 2.3287,                 3.0444,                 1.2458,                0.09982,                0.07692,                0.04412,                0.03239,                 2.3302,                 4.4469,                 1.4151,               0.007789,               0.007789,               0.007789
                     69,                 2.5431,                 3.1378,                 1.2959,                0.09982,                0.07692,                0.04412,                0.03239,                 2.3302,                 4.4469,                 1.4151,               0.007756,               0.007756,               0.007756
                     70,                 2.3089,                 2.9164,                 1.3533,                0.49274,                0.03846,                0.04138,                0.02813,                 2.3479,                 4.5681,                 1.4161,               0.007723,               0.007723,               0.007723
                     71,                 2.4674,                 3.1453,                 1.4337,                0.09779,                0.07692,                0.01641,                0.00909,                 2.3603,                 5.7024,                 1.4097,                0.00769,                0.00769,                0.00769
                     72,                 2.5085,                 2.9823,                 1.2961,                0.09753,                0.07692,                0.02797,                0.01448,                 2.3921,                 5.8335,                 1.4306,               0.007657,               0.007657,               0.007657
                     73,                 2.4902,                 3.0563,                 1.2866,                0.09753,                0.07692,                0.02797,                0.01448,                 2.3921,                 5.8335,                 1.4306,               0.007624,               0.007624,               0.007624
                     74,                 2.4108,                 3.0474,                 1.2903,                0.08751,                0.07692,                0.04647,                0.02831,                 2.4362,                  5.894,                 1.4434,               0.007591,               0.007591,               0.007591
                     75,                 2.4755,                 3.1473,                 1.3156,                0.01641,                0.03846,                0.00258,                0.00066,                 2.3921,                 9.2174,                 1.4633,               0.007558,               0.007558,               0.007558
                     76,                 2.2229,                 2.9074,                 1.3463,                0.02503,                0.07692,                0.00297,                0.00088,                 2.5122,                 7.9289,                  1.537,               0.007525,               0.007525,               0.007525
                     77,                 2.3477,                  2.936,                 1.2804,                0.02503,                0.07692,                0.00297,                0.00088,                 2.5122,                 7.9289,                  1.537,               0.007492,               0.007492,               0.007492
                     78,                 2.3922,                 2.9412,                 1.2688,                0.01786,                0.03846,                0.00198,                0.00076,                 2.5476,                 11.095,                 1.5433,               0.007459,               0.007459,               0.007459
                     79,                  2.405,                 3.1289,                 1.3977,                0.03248,                0.03846,                0.00323,                0.00124,                 2.6423,                 9.5965,                 1.5774,               0.007426,               0.007426,               0.007426
                     80,                 2.4471,                 3.2295,                 1.3591,                0.09255,                0.07692,                0.04559,                0.02403,                  2.738,                 6.2123,                 1.6376,               0.007393,               0.007393,               0.007393
                     81,                 2.1894,                 2.8776,                 1.3093,                0.09255,                0.07692,                0.04559,                0.02403,                  2.738,                 6.2123,                 1.6376,                0.00736,                0.00736,                0.00736
                     82,                 2.3896,                 3.0184,                 1.3324,                0.91897,                0.03846,                0.04477,                0.02288,                 2.7446,                 7.5245,                 1.7687,               0.007327,               0.007327,               0.007327
                     83,                 2.1362,                 3.0914,                 1.3905,                0.74059,                0.03846,                0.03923,                0.02179,                 2.7643,                 11.389,                  1.773,               0.007294,               0.007294,               0.007294
                     84,                 2.2593,                 3.0394,                 1.3441,                0.75217,                0.03846,                0.03851,                0.02162,                 2.7382,                 10.264,                 1.6844,               0.007261,               0.007261,               0.007261
                     85,                 2.1558,                  2.908,                  1.385,                0.75217,                0.03846,                0.03851,                0.02162,                 2.7382,                 10.264,                 1.6844,               0.007228,               0.007228,               0.007228
                     86,                 2.2506,                 2.9323,                 1.3668,                0.66837,                0.03846,                0.03919,                0.02186,                 2.7967,                 10.368,                 1.6378,               0.007195,               0.007195,               0.007195
                     87,                 2.1611,                 2.7818,                 1.4402,                0.83346,                0.03846,                0.04195,                0.02273,                 2.7568,                  7.764,                 1.5999,               0.007162,               0.007162,               0.007162
                     88,                  2.155,                 3.0249,                 1.3586,                 0.1194,                0.07692,                0.04567,                0.02027,                 2.8145,                 6.3275,                 1.6321,               0.007129,               0.007129,               0.007129
                     89,                 2.4665,                 3.1462,                 1.3176,                 0.1194,                0.07692,                0.04567,                0.02027,                 2.8145,                 6.3275,                 1.6321,               0.007096,               0.007096,               0.007096
                     90,                 2.2826,                 3.1025,                 1.3333,                0.13872,                0.07692,                0.04665,                0.02037,                 2.8056,                 4.9099,                 1.6531,               0.007063,               0.007063,               0.007063
                     91,                 2.1686,                 3.0247,                 1.4728,                0.22362,                0.07692,                0.04914,                0.02201,                 2.7615,                 4.8704,                 1.6386,                0.00703,                0.00703,                0.00703
                     92,                 2.2689,                 3.0021,                 1.3518,                0.37868,                0.07692,                0.05706,                0.02435,                 2.6448,                  4.654,                 1.5927,               0.006997,               0.006997,               0.006997
                     93,                 2.2074,                 2.8849,                  1.411,                0.37868,                0.07692,                0.05706,                0.02435,                 2.6448,                  4.654,                 1.5927,               0.006964,               0.006964,               0.006964
                     94,                 2.2158,                 3.0228,                 1.3974,                0.15243,                0.15385,                0.09218,                0.04594,                 2.3554,                 4.3764,                 1.4999,               0.006931,               0.006931,               0.006931
                     95,                 2.1273,                 2.6698,                 1.3728,                0.25975,                0.15385,                0.10298,                 0.0555,                 2.2106,                 4.3011,                 1.4171,               0.006898,               0.006898,               0.006898
                     96,                 2.1967,                 2.7774,                 1.3414,                 0.1431,                0.15385,                0.07437,                0.04176,                 2.1786,                 4.4246,                  1.367,               0.006865,               0.006865,               0.006865
                     97,                  2.192,                 2.8773,                 1.4082,                 0.1431,                0.15385,                0.07437,                0.04176,                 2.1786,                 4.4246,                  1.367,               0.006832,               0.006832,               0.006832
                     98,                 2.1896,                 2.8342,                 1.3108,                0.17013,                0.15385,                0.07633,                0.04271,                 2.3488,                 4.0652,                 1.4109,               0.006799,               0.006799,               0.006799
                     99,                 2.3169,                 3.0289,                 1.2651,                0.13674,                0.15385,                0.07552,                0.04083,                 2.4949,                 3.8473,                 1.4587,               0.006766,               0.006766,               0.006766
